transf_id,tipo,series_insumo,serie_producto,parametros,script_path,funcion,justificacion,metodologia_ref,reversible,notas
T001_CONCAT_PIB_NSA,concatenación de publicaciones oficiales homogéneas,"BCR.PIB.VOL.NSA.Q.RETRO, BCR.PIB.VOL.NSA.Q",PIB.NSA.CONCAT.Q,"empalme en 2005-T1/2005-T4; tolerancia 0.01 (RETRO conserva precisión completa, la tabla nativa publica 2 decimales — diferencia máxima verificada 0.0078, ver doc/metodologia/empalme_cuentas_nacionales.md)",src/transformacion/l3_pib_objetivo.R,concatenar_pib_nsa(),"ADR-003: no requiere empalme propio (Denton/Chow-Lin), las dos publicaciones oficiales ya coinciden exactamente en la superposición",ADR-003,true,
T002_AJUSTE_ESTACIONAL_PROPIO,ajuste estacional (X-13ARIMA-SEATS) + tratamiento de outlier 2020,T001_CONCAT_PIB_NSA (producto),PIB.SA.PROPIO.Q,"seasonal::seas(x) con parámetros por defecto (selección automática de transformación y de modelo ARIMA; detección nativa de outliers AO/LS/TC); ADR-004 no fija parámetros adicionales — resultado real (2026-09-16): ARIMA(1 1 1)(0 1 1), transform=log, 2 outliers AO detectados en 2020-Q2 y 2020-Q3",src/transformacion/l3_pib_objetivo.R,ajustar_estacional_propio(),"ADR-001 (enmienda 2026-08-07): única vía disponible para una serie SA de muestra completa 1990-2026, dado que no existe serie SA oficial para el tramo 1990-2005","ADR-001, ADR-004",false,"No reversible en sentido estricto (I4+I5, 2026-08-08): los factores estacionales de X-13ARIMA-SEATS se conservan y permiten reconstruir una aproximación de la serie NSA, pero la transformación declarada no es invertible sin ellos."
"T003_AGREGACION_TRIMESTRAL_IVAE","agregación temporal (promedio simple de 3 meses)","BCR.IVAE.VOL.SA.M","BCR.IVAE.VOL.SA.Q","promedio aritmético de los 3 meses de cada trimestre; el último trimestre se descarta si tiene menos de 3 meses observados (borde de publicación, no hueco)","src/transformacion/l3_predictores.R","agregar_trimestral_promedio()","ADR-010: agregación de alta a baja frecuencia es aritmética determinista, no requiere tempdisagg (reservado para desagregación, frecuencia baja a alta)","ADR-010","false","No reversible en sentido estricto: el promedio pierde la variación intratrimestral de los 3 meses de insumo."
"T004_DEFLACTAR_REMESAS","deflactación (índice de precios)","BCR.REMESAS.NOM.NSA.M, ONEC.IPC.IDX.NSA.M","BCR.REMESAS.REAL.NSA.M","valor_real = valor_nominal / (valor_indice / 100); unión por período por intersección (merge) -- el resultado solo cubre 2009-M12 en adelante, arranque de ONEC.IPC.BASE_2009, aunque la nominal cubre desde 1991-M01","src/transformacion/l3_predictores.R","deflactar_serie()","ADR-010: deflactación caso por caso, declarada por serie. Decisión de Harold (2026-09-16): remesas se materializa en dos versiones, nominal y real, en vez de solo una -- ver AskUserQuestion de esa sesión","ADR-010","true","Reversible en el tramo cubierto: valor_nominal = valor_real * (valor_indice / 100). No cubre 1991-M01 a 2009-M11 -- ONEC.IPC.BASE_2009 no llega tan atrás (ver ONEC.IPC.BASE_1992 como candidato futuro para extender la cobertura real hacia atrás, no implementado en esta sesión)."
"T005_AGREGACION_TRIMESTRAL_REMESAS_NOM","agregación temporal (suma de 3 meses)","BCR.REMESAS.NOM.NSA.M","BCR.REMESAS.NOM.NSA.Q","suma aritmética de los 3 meses de cada trimestre (no promedio: remesas es un flujo mensual, el trimestre es la suma de sus 3 flujos); el primer y último trimestre se descartan si tienen menos de 3 meses observados (borde de cobertura, no hueco)","src/transformacion/l3_predictores.R","agregar_trimestral_suma()","ADR-010: agregación de alta a baja frecuencia es aritmética determinista. Para un flujo (a diferencia de BCR.IVAE.VOL.SA.M, un nivel/índice), la operación aritmética correspondiente es la suma, no el promedio -- promediar subestimaría el flujo trimestral en un factor de ~3","ADR-010","false","No reversible en sentido estricto: la suma pierde la distribución intratrimestral de los 3 meses de insumo."
"T006_AGREGACION_TRIMESTRAL_REMESAS_REAL","agregación temporal (suma de 3 meses)","BCR.REMESAS.REAL.NSA.M","BCR.REMESAS.REAL.NSA.Q","suma aritmética de los 3 meses de cada trimestre (mismo criterio que T005 -- serie de flujo, no de nivel); el primer y último trimestre se descartan si tienen menos de 3 meses observados (borde de cobertura, no hueco)","src/transformacion/l3_predictores.R","agregar_trimestral_suma()","Misma justificación que T005, aplicada al producto de T004 (la versión real) en vez de a la nominal directa de L1","ADR-010","false","No reversible en sentido estricto, mismo motivo que T005. Cobertura: 2010-Q1 a la fecha (2009-Q4 y el trimestre final incompleto se descartan por borde, ver T004 para el arranque de la serie real mensual)."
"T007_AGREGACION_TRIMESTRAL_IPP","agregación temporal (promedio simple de 3 meses)","BCR.IPP.IDX.NSA.M","BCR.IPP.IDX.NSA.Q","promedio aritmético de los 3 meses de cada trimestre (mismo criterio que T003 -- índice de nivel, no flujo); el primer y último trimestre se descartan si tienen menos de 3 meses observados (borde de cobertura, no hueco)","src/transformacion/l3_predictores.R","agregar_trimestral_promedio()","ADR-010: agregación de alta a baja frecuencia es aritmética determinista, no requiere tempdisagg. BCR.IPP.IDX.NSA.M es un índice de nivel (como BCR.IVAE.VOL.SA.M), no un flujo (como BCR.REMESAS): la operación correspondiente es el promedio, no la suma","ADR-010","false","No reversible en sentido estricto: el promedio pierde la variación intratrimestral de los 3 meses de insumo. Cobertura: 2010-Q1 a 2026-Q2 (2009-Q4, solo diciembre, y 2026-Q3, solo julio, se descartan por borde de cobertura de la serie mensual, que arranca en dic-2009 por construcción del índice -- ver 03_series.csv, fuente_celda de BCR.IPP.IDX.NSA.M)."
"T008_AGREGACION_TRIMESTRAL_EXPORT_FOB","agregación temporal (suma de 3 meses)","BCR.EXPORT_FOB.NOM.NSA.M","BCR.EXPORT_FOB.NOM.NSA.Q","suma aritmética de los 3 meses de cada trimestre (mismo criterio que T005 -- serie de flujo, no de nivel); el primer y último trimestre se descartan si tienen menos de 3 meses observados (borde de cobertura, no hueco)","src/transformacion/l3_predictores.R","agregar_trimestral_suma()","ADR-010: agregación de alta a baja frecuencia es aritmética determinista. BCR.EXPORT_FOB.NOM.NSA.M es un flujo mensual (como BCR.REMESAS.NOM.NSA.M), no un índice de nivel (como BCR.IVAE/IPP): la operación correspondiente es la suma, no el promedio","ADR-010","false","No reversible en sentido estricto: la suma pierde la distribución intratrimestral de los 3 meses de insumo. Cobertura: 1994-Q1 a 2026-Q2, 130 trimestres, todos completos -- 390 meses de insumo (1994-M01 a 2026-M06) es exactamente 130×3 y arranca en enero, así que no hay borde incompleto ni al inicio ni al final (a diferencia de BCR.REMESAS.REAL/BCR.IPP, que sí empiezan a mitad de trimestre)."
"T009_AGREGACION_TRIMESTRAL_ITCER","agregación temporal (promedio simple de 3 meses)","BCR.ITCER.IDX.NSA.M","BCR.ITCER.IDX.NSA.Q","promedio aritmético de los 3 meses de cada trimestre (mismo criterio que T003/T007 -- índice de nivel, no flujo); el primer y último trimestre se descartan si tienen menos de 3 meses observados (borde de cobertura, no hueco)","src/transformacion/l3_predictores.R","agregar_trimestral_promedio()","ADR-010: agregación de alta a baja frecuencia es aritmética determinista. BCR.ITCER.IDX.NSA.M es un índice de nivel (como IVAE/IPP), no un flujo: la operación correspondiente es el promedio","ADR-010","false","No reversible en sentido estricto: el promedio pierde la variación intratrimestral de los 3 meses de insumo. Cobertura: 2000-Q1 a 2026-Q2 -- 318 meses de insumo (2000-M01 a 2026-M06) es exactamente 106×3 y arranca en enero, sin borde incompleto (mismo caso que T008/BCR.EXPORT_FOB, a diferencia de T003/T007)."
"T010_AGREGACION_TRIMESTRAL_IPM","agregación temporal (promedio simple de 3 meses)","BCR.IPM.IDX.NSA.M","BCR.IPM.IDX.NSA.Q","promedio aritmético de los 3 meses de cada trimestre (mismo criterio que T003/T007/T009 -- índice de nivel, no flujo); el primer y último trimestre se descartan si tienen menos de 3 meses observados (borde de cobertura, no hueco)","src/transformacion/l3_predictores.R","agregar_trimestral_promedio()","ADR-010: agregación de alta a baja frecuencia es aritmética determinista. BCR.IPM.IDX.NSA.M es un índice de nivel (como IVAE/IPP/ITCER), no un flujo: la operación correspondiente es el promedio","ADR-010","false","No reversible en sentido estricto: el promedio pierde la variación intratrimestral de los 3 meses de insumo. Cobertura: 2005-Q1 a 2026-Q1 -- 257 meses de insumo (2005-M01 a 2026-M05) no es múltiplo exacto de 3 (257 = 85×3 + 2): el último trimestre (2026-Q2, solo abril-mayo) se descarta por borde de cobertura, no por hueco."
